Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Place,,Time Period,Start_Date,Data Value,,,,latitude,longitude,name,desc,color,source,precision,
164860,383,Sulfur Dioxide (SO2),Mean,ppb,CD,107,Upper West Side  ,"Upper West Side  , New York City",Winter 2008-09,39783,11,,,,40.79251,-73.9732,Upper West Side,"New York, New York, NY, US",,MapQuest,neighborhood,
164861,383,Sulfur Dioxide (SO2),Mean,ppb,CD,108,Upper East Side  ,"Upper East Side  , New York City",Winter 2008-09,39783,12.05,,,,40.77062,-73.95703,Upper East Side,"New York, New York, NY, US",,MapQuest,neighborhood,
164862,383,Sulfur Dioxide (SO2),Mean,ppb,CD,109,Morningside Heights and Hamilton Heights  ,"Morningside Heights and Hamilton Heights  , New York City",Winter 2008-09,39783,9.25,,,,40.80662,-73.96122,Morningside Heights and Hamilton Heights,"1129 Amsterdam Ave, New York, New York, NY, US",,MapQuest,address,
164863,383,Sulfur Dioxide (SO2),Mean,ppb,CD,110,Central Harlem  ,"Central Harlem  , New York City",Winter 2008-09,39783,8.22,,,,40.8115504,-73.9464769,Central Harlem,"Central Ave E, Harlem, Blaine, MT, US",,MapQuest,street,
164864,383,Sulfur Dioxide (SO2),Mean,ppb,CD,111,East Harlem  ,"East Harlem  , New York City",Winter 2008-09,39783,6.97,,,,40.79828,-73.94081,East Harlem,"New York, New York, NY, US",,MapQuest,neighborhood,
164865,383,Sulfur Dioxide (SO2),Mean,ppb,CD,112,Washington Heights and Inwood  ,"Washington Heights and Inwood  , New York City",Winter 2008-09,39783,11.44,,,,40.8402,-73.9402,Washington Heights and Inwood,"Washington Hts, Parkersburg, Wood, WV, US",,MapQuest,street,
164866,383,Sulfur Dioxide (SO2),Mean,ppb,CD,201,Mott Haven and Melrose  ,"Mott Haven and Melrose  , New York City",Winter 2008-09,39783,5.71,,,,40.81847,-73.9167,Mott Haven and Melrose,"Melrose Ave, Bronx, Bronx, NY, US",,MapQuest,street,
164867,383,Sulfur Dioxide (SO2),Mean,ppb,CD,202,Hunts Point and Longwood  ,"Hunts Point and Longwood  , New York City",Winter 2008-09,39783,5.12,,,,40.81621,-73.89606,Hunts Point and Longwood,"Longwood Ave, Bronx, Bronx, NY, US",,MapQuest,street,
164868,383,Sulfur Dioxide (SO2),Mean,ppb,CD,203,Morrisania and Crotona  ,"Morrisania and Crotona  , New York City",Winter 2008-09,39783,7.03,,,,40.8291,-73.90671,Morrisania and Crotona,"Bronx, Bronx, NY, US",,MapQuest,neighborhood,
164870,383,Sulfur Dioxide (SO2),Mean,ppb,CD,205,Fordham and University Heights  ,"Fordham and University Heights  , New York City",Winter 2008-09,39783,12.69,,,,40.85927,-73.89847,Fordham and University Heights,"Fordham Ct, Naperville, DuPage, IL, US",,MapQuest,street,
164886,383,Sulfur Dioxide (SO2),Mean,ppb,CD,309,South Crown Heights and Lefferts Gardens  ,"South Crown Heights and Lefferts Gardens  , New York City",Winter 2008-09,39783,4.98,,,,40.66235,-73.95081,South Crown Heights and Lefferts Gardens,US,,MapQuest,country,
164887,383,Sulfur Dioxide (SO2),Mean,ppb,CD,310,Bay Ridge and Dyker Heights  ,"Bay Ridge and Dyker Heights  , New York City",Winter 2008-09,39783,3.44,,,,40.6203,-74.00742,Bay Ridge and Dyker Heights,"Brooklyn, Kings, NY, US",,MapQuest,intersection,
164888,383,Sulfur Dioxide (SO2),Mean,ppb,CD,311,Bensonhurst  ,"Bensonhurst  , New York City",Winter 2008-09,39783,3.65,,,,40.60186,-73.9939,Bensonhurst,"Brooklyn, Kings, NY, US",,MapQuest,neighborhood,
164889,383,Sulfur Dioxide (SO2),Mean,ppb,CD,312,Borough Park  ,"Borough Park  , New York City",Winter 2008-09,39783,4.4,,,,40.63382,-73.99693,Borough Park,"Brooklyn, Kings, NY, US",,MapQuest,neighborhood,
164890,383,Sulfur Dioxide (SO2),Mean,ppb,CD,313,Coney Island  ,"Coney Island  , New York City",Winter 2008-09,39783,2.94,,,,40.574879,-73.982872,Coney Island,"Coney Island, Stone, MO, US",,MapQuest,city/town,
164891,383,Sulfur Dioxide (SO2),Mean,ppb,CD,314,Flatbush and Midwood  ,"Flatbush and Midwood  , New York City",Winter 2008-09,39783,4.71,,,,40.61496,-73.95435,Flatbush and Midwood,"1923 Ocean Ave, Brooklyn, Kings, NY, US",,MapQuest,address,
164892,383,Sulfur Dioxide (SO2),Mean,ppb,CD,315,Sheepshead Bay  ,"Sheepshead Bay  , New York City",Winter 2008-09,39783,3.3,,,,40.59094,-73.94493,Sheepshead Bay,"Brooklyn, Kings, NY, US",,MapQuest,neighborhood,
164893,383,Sulfur Dioxide (SO2),Mean,ppb,CD,316,Brownsville  ,"Brownsville  , New York City",Winter 2008-09,39783,4.29,,,,40.66969,-73.91679,Brownsville,"Brownsville, Brooklyn, NY",,MapQuest,city/town,
164894,383,Sulfur Dioxide (SO2),Mean,ppb,CD,317,East Flatbush  ,"East Flatbush  , New York City",Winter 2008-09,39783,4.38,,,,40.65379,-73.93081,East Flatbush,"Brooklyn, Kings, NY, US",,MapQuest,neighborhood,
164895,383,Sulfur Dioxide (SO2),Mean,ppb,CD,318,Flatlands and Canarsie  ,"Flatlands and Canarsie  , New York City",Winter 2008-09,39783,3.23,,,,40.64051,-73.90555,Flatlands and Canarsie,"Flatlands Ave, Brooklyn, Kings, NY, US",,MapQuest,street,
164896,383,Sulfur Dioxide (SO2),Mean,ppb,CD,401,Long Island City and Astoria  ,"Long Island City and Astoria  , New York City",Winter 2008-09,39783,5.05,,,,40.77064,-73.92575,Long Island City and Astoria,"Long Island City, Queens, NY, US",,MapQuest,neighborhood,
164897,383,Sulfur Dioxide (SO2),Mean,ppb,CD,402,Woodside and Sunnyside  ,"Woodside and Sunnyside  , New York City",Winter 2008-09,39783,4.81,,,,40.74155,-73.9323,Woodside and Sunnyside,"Woodside, Queens, NY, US",,MapQuest,neighborhood,
164898,383,Sulfur Dioxide (SO2),Mean,ppb,CD,403,Jackson Heights  ,"Jackson Heights  , New York City",Winter 2008-09,39783,6.09,,,,40.7494,-73.88756,Jackson Heights,"Jackson Heights, Queens, NY, US",,MapQuest,city/town,
164899,383,Sulfur Dioxide (SO2),Mean,ppb,CD,404,Elmhurst and Corona  ,"Elmhurst and Corona  , New York City",Winter 2008-09,39783,6.3,,,,40.7385,-73.87794,Elmhurst and Corona,"Corona, Queens, NY, US",,MapQuest,neighborhood,
164900,383,Sulfur Dioxide (SO2),Mean,ppb,CD,405,Ridgewood and Maspeth  ,"Ridgewood and Maspeth  , New York City",Winter 2008-09,39783,4.06,,,,40.72425,-73.90251,Ridgewood and Maspeth,"Ridgewood, Queens, NY, US",,MapQuest,neighborhood,
164901,383,Sulfur Dioxide (SO2),Mean,ppb,CD,406,Rego Park and Forest Hills  ,"Rego Park and Forest Hills  , New York City",Winter 2008-09,39783,5.31,,,,40.72288,-73.84477,Rego Park and Forest Hills,"Rego Park, Queens, NY, US",,MapQuest,neighborhood,
164902,383,Sulfur Dioxide (SO2),Mean,ppb,CD,407,Flushing and Whitestone  ,"Flushing and Whitestone  , New York City",Winter 2008-09,39783,4.5,,,,40.76297,-73.83563,Flushing and Whitestone,"Whitestone, Queens, NY, US",,MapQuest,neighborhood,
164903,383,Sulfur Dioxide (SO2),Mean,ppb,CD,408,Hillcrest and Fresh Meadows  ,"Hillcrest and Fresh Meadows  , New York City",Winter 2008-09,39783,3.99,,,,40.72696,-73.79832,Hillcrest and Fresh Meadows,"Fresh Meadows, Queens, NY, US",,MapQuest,neighborhood,
164904,383,Sulfur Dioxide (SO2),Mean,ppb,CD,409,Kew Gardens and Woodhaven  ,"Kew Gardens and Woodhaven  , New York City",Winter 2008-09,39783,4.22,,,,40.71803,-73.86321,Kew Gardens and Woodhaven,"66-11 Woodhaven Blvd, Rego Park, Queens, NY, US",,MapQuest,address,
164905,383,Sulfur Dioxide (SO2),Mean,ppb,CD,410,South Ozone Park and Howard Beach  ,"South Ozone Park and Howard Beach  , New York City",Winter 2008-09,39783,3.37,,,,40.67533,-73.81735,South Ozone Park and Howard Beach,"Howard Beach, Queens, NY, US",,MapQuest,neighborhood,
164906,383,Sulfur Dioxide (SO2),Mean,ppb,CD,411,Bayside and Little Neck  ,"Bayside and Little Neck  , New York City",Winter 2008-09,39783,3.73,,,,40.77795,-73.76882,Bayside and Little Neck,"Little Neck Blvd, Bayside, Queens, NY, US",,MapQuest,street,
164907,383,Sulfur Dioxide (SO2),Mean,ppb,CD,412,Jamaica and Hollis  ,"Jamaica and Hollis  , New York City",Winter 2008-09,39783,3.43,,,,40.70044,-73.78907,Jamaica and Hollis,"Hollis, Queens, NY, US",,MapQuest,neighborhood,
164908,383,Sulfur Dioxide (SO2),Mean,ppb,CD,413,Queens Village  ,"Queens Village  , New York City",Winter 2008-09,39783,3.14,,,,40.71481,-73.75076,Queens Village,"Queens Village, Queens, NY, US",,MapQuest,city/town,
164909,383,Sulfur Dioxide (SO2),Mean,ppb,CD,414,Rockaway and Broad Channel  ,"Rockaway and Broad Channel  , New York City",Winter 2008-09,39783,2.38,,,,40.60315,-73.8214,Rockaway and Broad Channel,"Far Rockaway, Queens, NY, US",,MapQuest,neighborhood,
164910,383,Sulfur Dioxide (SO2),Mean,ppb,CD,501,St. George and Stapleton  ,"St. George and Stapleton  , New York City",Winter 2008-09,39783,2.56,,,,40.64356,-74.07396,St. George and Stapleton,"Stapleton, Jefferson, GA, US",,MapQuest,city/town,
164911,383,Sulfur Dioxide (SO2),Mean,ppb,CD,502,South Beach and Willowbrook  ,"South Beach and Willowbrook  , New York City",Winter 2008-09,39783,2.18,,,,40.6031598,-74.1384762,South Beach and Willowbrook,"Rye Beach, Rockingham, NH, US",,MapQuest,intersection,
164912,383,Sulfur Dioxide (SO2),Mean,ppb,CD,503,Tottenville and Great Kills  ,"Tottenville and Great Kills  , New York City",Winter 2008-09,39783,1.8,,,,40.55416,-74.1524,Tottenville and Great Kills,"Staten Island, Richmond, NY, US",,MapQuest,neighborhood,
164913,383,Sulfur Dioxide (SO2),Mean,ppb,CD,101,Financial District  ,"Financial District  , New York City",Winter 2009-10,40148,3.04,,,,40.70906,-74.01061,Financial District,"New York, New York, NY, US",,MapQuest,neighborhood,
164914,383,Sulfur Dioxide (SO2),Mean,ppb,CD,102,Greenwich Village and Soho  ,"Greenwich Village and Soho  , New York City",Winter 2009-10,40148,5.69,,,,40.724159,-74.001122,Greenwich Village and Soho,"New Village Rd, Franklin Twp, Warren, NJ, US",,MapQuest,street,
164915,383,Sulfur Dioxide (SO2),Mean,ppb,CD,103,Lower East Side and Chinatown  ,"Lower East Side and Chinatown  , New York City",Winter 2009-10,40148,4.63,,,,40.71752,-73.99176,Lower East Side and Chinatown,"298 Grand St, New York, New York, NY, US",,MapQuest,address,
164916,383,Sulfur Dioxide (SO2),Mean,ppb,CD,104,Clinton and Chelsea  ,"Clinton and Chelsea  , New York City",Winter 2009-10,40148,4.92,,,,40.76281,-73.993149,Clinton and Chelsea,"Clinton St, Chelsea, Suffolk, MA, US",,MapQuest,street,
164917,383,Sulfur Dioxide (SO2),Mean,ppb,CD,105,Midtown  ,"Midtown  , New York City",Winter 2009-10,40148,7.02,,,,40.754932,-73.984016,Midtown,"Atlanta, Fulton, GA, US",,MapQuest,neighborhood,
164918,383,Sulfur Dioxide (SO2),Mean,ppb,CD,106,Stuyvesant Town and Turtle Bay  ,"Stuyvesant Town and Turtle Bay  , New York City",Winter 2009-10,40148,6.32,,,,40.73244,-73.97771,Stuyvesant Town and Turtle Bay,"New York, New York, NY, US",,MapQuest,neighborhood,
164919,383,Sulfur Dioxide (SO2),Mean,ppb,CD,107,Upper West Side  ,"Upper West Side  , New York City",Winter 2009-10,40148,7.57,,,,40.79251,-73.9732,Upper West Side,"New York, New York, NY, US",,MapQuest,neighborhood,
164920,383,Sulfur Dioxide (SO2),Mean,ppb,CD,108,Upper East Side  ,"Upper East Side  , New York City",Winter 2009-10,40148,8.46,,,,40.77062,-73.95703,Upper East Side,"New York, New York, NY, US",,MapQuest,neighborhood,
164921,383,Sulfur Dioxide (SO2),Mean,ppb,CD,109,Morningside Heights and Hamilton Heights  ,"Morningside Heights and Hamilton Heights  , New York City",Winter 2009-10,40148,6.26,,,,40.80662,-73.96122,Morningside Heights and Hamilton Heights,"1129 Amsterdam Ave, New York, New York, NY, US",,MapQuest,address,
164922,383,Sulfur Dioxide (SO2),Mean,ppb,CD,110,Central Harlem  ,"Central Harlem  , New York City",Winter 2009-10,40148,5.59,,,,40.8115504,-73.9464769,Central Harlem,"Central Ave E, Harlem, Blaine, MT, US",,MapQuest,street,
164923,383,Sulfur Dioxide (SO2),Mean,ppb,CD,111,East Harlem  ,"East Harlem  , New York City",Winter 2009-10,40148,4.84,,,,40.79828,-73.94081,East Harlem,"New York, New York, NY, US",,MapQuest,neighborhood,
164924,383,Sulfur Dioxide (SO2),Mean,ppb,CD,112,Washington Heights and Inwood  ,"Washington Heights and Inwood  , New York City",Winter 2009-10,40148,7.45,,,,40.8402,-73.9402,Washington Heights and Inwood,"Washington Hts, Parkersburg, Wood, WV, US",,MapQuest,street,
164925,383,Sulfur Dioxide (SO2),Mean,ppb,CD,201,Mott Haven and Melrose  ,"Mott Haven and Melrose  , New York City",Winter 2009-10,40148,3.9,,,,40.81847,-73.9167,Mott Haven and Melrose,"Melrose Ave, Bronx, Bronx, NY, US",,MapQuest,street,
164926,383,Sulfur Dioxide (SO2),Mean,ppb,CD,202,Hunts Point and Longwood  ,"Hunts Point and Longwood  , New York City",Winter 2009-10,40148,3.45,,,,40.81621,-73.89606,Hunts Point and Longwood,"Longwood Ave, Bronx, Bronx, NY, US",,MapQuest,street,
164927,383,Sulfur Dioxide (SO2),Mean,ppb,CD,203,Morrisania and Crotona  ,"Morrisania and Crotona  , New York City",Winter 2009-10,40148,4.66,,,,40.8291,-73.90671,Morrisania and Crotona,"Bronx, Bronx, NY, US",,MapQuest,neighborhood,
164929,383,Sulfur Dioxide (SO2),Mean,ppb,CD,205,Fordham and University Heights  ,"Fordham and University Heights  , New York City",Winter 2009-10,40148,8.24,,,,40.85927,-73.89847,Fordham and University Heights,"Fordham Ct, Naperville, DuPage, IL, US",,MapQuest,street,
164934,383,Sulfur Dioxide (SO2),Mean,ppb,CD,210,Throgs Neck and Co-op City  ,"Throgs Neck and Co-op City  , New York City",Winter 2009-10,40148,2.83,,,,40.82261,-73.82049,Throgs Neck and Co-op City,"New York, Bronx, NY, US",,MapQuest,neighborhood,
164935,383,Sulfur Dioxide (SO2),Mean,ppb,CD,211,Morris Park and Bronxdale  ,"Morris Park and Bronxdale  , New York City",Winter 2009-10,40148,3.76,,,,40.85284,-73.85452,Morris Park and Bronxdale,"Bronx, Bronx, NY, US",,MapQuest,neighborhood,
